low_threshold,high_threshold,coverage,true_mosaic_clinical,prob_classified_as_mosaic
0.1,0.3,5,mosaic_true,0.65508
0.1,0.3,5,normal_true,0.4283
0.1,0.3,10,mosaic_true,0.6656
0.1,0.3,10,normal_true,0.2691
0.1,0.3,20,mosaic_true,0.6886
0.1,0.3,20,normal_true,0.1302
0.1,0.3,50,mosaic_true,0.71956
0.1,0.3,50,normal_true,0.0258
0.1,0.4,5,mosaic_true,0.65508
0.1,0.4,5,normal_true,0.4283
0.1,0.4,10,mosaic_true,0.6656
0.1,0.4,10,normal_true,0.2691
0.1,0.4,20,mosaic_true,0.6886
0.1,0.4,20,normal_true,0.1302
0.1,0.4,50,mosaic_true,0.71956
0.1,0.4,50,normal_true,0.0258
0.15,0.3,5,mosaic_true,0.47784
0.15,0.3,5,normal_true,0.2305
0.15,0.3,10,mosaic_true,0.4476
0.15,0.3,10,normal_true,0.0922
0.15,0.3,20,mosaic_true,0.43292
0.15,0.3,20,normal_true,0.0199
0.15,0.3,50,mosaic_true,0.42672
0.15,0.3,50,normal_true,7e-4
0.15,0.4,5,mosaic_true,0.47784
0.15,0.4,5,normal_true,0.2305
0.15,0.4,10,mosaic_true,0.4476
0.15,0.4,10,normal_true,0.0922
0.15,0.4,20,mosaic_true,0.43292
0.15,0.4,20,normal_true,0.0199
0.15,0.4,50,mosaic_true,0.42672
0.15,0.4,50,normal_true,7e-4
0.2,0.3,5,mosaic_true,0.3092
0.2,0.3,5,normal_true,0.1085
0.2,0.3,10,mosaic_true,0.24456
0.2,0.3,10,normal_true,0.0221
0.2,0.3,20,mosaic_true,0.19492
0.2,0.3,20,normal_true,0.0014
0.2,0.3,50,mosaic_true,0.14996
0.2,0.3,50,normal_true,0
0.2,0.4,5,mosaic_true,0.3092
0.2,0.4,5,normal_true,0.1085
0.2,0.4,10,mosaic_true,0.24456
0.2,0.4,10,normal_true,0.0221
0.2,0.4,20,mosaic_true,0.19492
0.2,0.4,20,normal_true,0.0014
0.2,0.4,50,mosaic_true,0.14996
0.2,0.4,50,normal_true,0
