coverage,low_threshold,mosaicism_pct,normal_str,mosaic_str,aneuploid_str
10,0.1,0%,"75.0% [73.8, 76.2]","24.9% [23.7, 26.1]","0.0% [0.0, 0.2]"
10,0.1,10%,"61.1% [59.7, 62.4]","38.9% [37.5, 40.3]","0.0% [0.0, 0.2]"
10,0.1,15%,"47.1% [45.7, 48.5]","52.4% [51.0, 53.8]","0.5% [0.3, 0.8]"
10,0.1,20%,"31.3% [30.0, 32.6]","67.2% [65.9, 68.5]","1.6% [1.2, 2.0]"
10,0.1,25%,"18.5% [17.5, 19.6]","78.0% [76.9, 79.2]","3.4% [3.0, 4.0]"
10,0.1,30%,"9.3% [8.5, 10.1]","81.7% [80.6, 82.8]","9.0% [8.2, 9.8]"
10,0.1,5%,"71.1% [69.9, 72.4]","28.8% [27.5, 30.1]","0.1% [0.0, 0.2]"
10,0.15,0%,"91.6% [90.8, 92.3]","8.4% [7.6, 9.2]","0.0% [0.0, 0.2]"
10,0.15,10%,"84.6% [83.6, 85.6]","15.3% [14.4, 16.4]","0.0% [0.0, 0.2]"
10,0.15,15%,"71.5% [70.2, 72.7]","28.0% [26.8, 29.3]","0.5% [0.3, 0.8]"
10,0.15,20%,"55.5% [54.1, 56.9]","42.9% [41.5, 44.3]","1.6% [1.2, 2.0]"
10,0.15,25%,"40.5% [39.1, 41.9]","56.1% [54.7, 57.4]","3.4% [3.0, 4.0]"
10,0.15,30%,"24.1% [22.9, 25.3]","67.0% [65.6, 68.3]","9.0% [8.2, 9.8]"
10,0.15,5%,"90.0% [89.1, 90.8]","10.0% [9.2, 10.8]","0.1% [0.0, 0.2]"
20,0.1,0%,"89.1% [88.2, 89.9]","10.9% [10.1, 11.8]","0.0% [0.0, 0.1]"
20,0.1,10%,"69.0% [67.7, 70.3]","31.0% [29.7, 32.3]","0.0% [0.0, 0.1]"
20,0.1,15%,"47.4% [46.0, 48.8]","52.6% [51.2, 54.0]","0.0% [0.0, 0.1]"
20,0.1,20%,"25.6% [24.4, 26.8]","74.2% [73.0, 75.4]","0.2% [0.1, 0.4]"
20,0.1,25%,"10.6% [9.7, 11.5]","88.9% [87.9, 89.7]","0.6% [0.4, 0.8]"
20,0.1,30%,"3.2% [2.7, 3.7]","94.0% [93.3, 94.7]","2.8% [2.4, 3.3]"
20,0.1,5%,"84.9% [83.8, 85.9]","15.1% [14.1, 16.2]","0.0% [0.0, 0.1]"
20,0.15,0%,"98.2% [97.8, 98.5]","1.8% [1.5, 2.2]","0.0% [0.0, 0.1]"
20,0.15,10%,"91.6% [90.7, 92.3]","8.4% [7.7, 9.3]","0.0% [0.0, 0.1]"
20,0.15,15%,"80.2% [79.0, 81.3]","19.8% [18.7, 21.0]","0.0% [0.0, 0.1]"
20,0.15,20%,"58.3% [56.9, 59.7]","41.5% [40.1, 42.8]","0.2% [0.1, 0.4]"
20,0.15,25%,"36.4% [35.1, 37.8]","63.0% [61.7, 64.4]","0.6% [0.4, 0.8]"
20,0.15,30%,"17.1% [16.1, 18.2]","80.1% [79.0, 81.2]","2.8% [2.4, 3.3]"
20,0.15,5%,"97.8% [97.4, 98.2]","2.2% [1.8, 2.6]","0.0% [0.0, 0.1]"
